Rank,Name,Net Worth,Age,Source,Country
455,Joe Lewis,$6.2 B,86,Investments,United Kingdom
456,Thomas Hagen,$6.2 B,88,Insurance,United States
457,Neil Bluhm,$6.2 B,85,Real estate,United States
458,Mark Cuban,$6.2 B,65,"Online media, Dallas Mavericks",United States
459,Daniel Ziff,$6.2 B,52,Investments,United States
459,Dirk Ziff,$6.2 B,59,Investments,United States
461,Robert Ziff,$6.2 B,57,Investments,United States
462,Stanley Druckenmiller,$6.2 B,70,Hedge funds,United States
463,Joe Mansueto,$6.2 B,67,Investment research,United States
464,Philippe Laffont,$6.1 B,56,Hedge fund,United States
465,Paul Singer,$6.1 B,79,Hedge funds,United States
466,Gayle Benson,$6.1 B,76,New Orleans Saints,United States
467,Zong Qinghou,$6.1 B,78,Beverages,China
468,Kerry Stokes,$6.1 B,83,"Construction equipment, media",Australia
469,You Xiaoping & family,$6.1 B,65,Polyurethanes,China
470,Thomas Pritzker,$6.1 B,73,"Hotels, investments",United States
471,Rudolf Maag,$6.1 B,77,Medical devices,Switzerland
472,Lin Li,$6.1 B,60,Investments,China
473,Dan Friedkin,$6.1 B,58,Toyota dealerships,United States
474,Ding Shijia,$6.1 B,60,Sports apparel,China
475,Todd Boehly,$6.1 B,50,Finance,United States
476,Ty Warner,$6.0 B,79,"Plush toys, real estate",United States
477,Frank Lowy,$6.0 B,93,Investments,Australia
478,Les Wexner & family,$6.0 B,86,Retail,United States
479,Patrick Soon-Shiong,$6.0 B,71,Pharmaceuticals,United States
480,William Goldring & family,$6.0 B,80,alcohol,United States
481,John A. Sobrato & family,$6.0 B,84,Real estate,United States
482,Alexander Abramov,$6.0 B,64,"Steel, mining",Russia
483,Arthur Irving,$5.9 B,94,Oil,Canada
484,Marc Rowan,$5.9 B,61,Private equity,United States
485,Zhu Yi,$5.9 B,60,Pharmaceuticals,China
486,Mark Walter,$5.9 B,63,"Finance, asset management",United States
487,Thomas Straumann,$5.9 B,60,Dental implants,Switzerland
488,Niels Peter Louis-Hansen,$5.9 B,76,Medical devices,Denmark
489,Tsai Eng-meng,$5.9 B,66,"Food, beverages",Taiwan
490,Pierre Chen,$5.9 B,67,Electronics,Taiwan
491,Tomasz Biernacki,$5.9 B,50,Supermarkets,Poland
492,Andreas Halvorsen,$5.9 B,62,Hedge funds,Norway
493,Donald Horton & family,$5.8 B,73,Homebuilding,United States
494,Robert Faith,$5.8 B,60,Real estate management,United States
495,Nathan Kirsh,$5.8 B,91,"Retail, real estate",Eswatini (Swaziland)
496,Denise York & family,$5.8 B,73,San Francisco 49ers,United States
497,Wolfgang Marguerre & family,$5.7 B,82,Pharmaceuticals,Germany
498,Abdulsamad Rabiu,$5.7 B,63,"Cement, sugar",Nigeria
499,Shen Guojun,$5.7 B,61,Retail,China
500,Jason Chang,$5.7 B,79,Electronics,Singapore
501,Fred Smith,$5.7 B,79,FedEx,United States
502,Rinat Akhmetov,$5.7 B,57,"Steel, coal",Ukraine
503,James Irving,$5.7 B,95,Diversified,Canada
504,Clive Calder,$5.7 B,77,Record label,United Kingdom
505,Chase Coleman III,$5.7 B,48,Investments,United States
506,Bill Haslam,$5.7 B,65,Gas stations,United States
507,Cao Renxian,$5.6 B,55,Photovoltaic equipment,China
508,Chairul Tanjung,$5.6 B,61,Diversified,Indonesia
509,Kelcy Warren,$5.6 B,68,Pipelines,United States
510,Michael Ashley,$5.6 B,59,Sports retailing,United Kingdom
511,Jim Davis & family,$5.6 B,80,New Balance,United States
512,Janice McNair,$5.6 B,87,"Energy, sports",United States
513,Maria Angelicoussis,$5.6 B,41,Shipping,Greece
514,Rafael Del Pino,$5.6 B,65,Construction,Spain
515,Ruan Liping,$5.6 B,59,Power strips,Hong Kong
516,Carl Icahn,$5.6 B,87,Investments,United States
517,Mark Stevens,$5.6 B,63,Venture capital,United States
518,Ruan Xueping,$5.6 B,52,Power strip,Hong Kong
519,Lynda Resnick,$5.6 B,80,Agriculture,United States
519,Stewart Resnick,$5.6 B,87,Agriculture,United States
521,Teddy Sagi,$5.6 B,52,Gambling software,Israel
522,Erich Wesjohann & family,$5.5 B,78,Poultry genetics,Germany
523,Tom Golisano,$5.5 B,82,Payroll services,United States
524,Liu Yonghao & family,$5.5 B,72,Agribusiness,China
525,Charles B. Johnson,$5.5 B,90,Franklin Templeton,United States
526,Patrick Collison,$5.5 B,35,Payment software,Ireland
526,John Collison,$5.5 B,33,Payments software,Ireland
528,Jaime Gilinski Bacal,$5.5 B,66,Banking,Colombia
529,Lin Bin,$5.5 B,55,Smartphones,United States
530,Alexandra Schoerghuber & family,$5.5 B,65,Real estate,Germany
531,Richard Liu,$5.5 B,49,E-commerce,China
532,Robert Hale Jr,$5.4 B,57,Telecom,United States
533,Martin Haefner,$5.4 B,70,"Software, investments",Switzerland
534,Sumet Jiaravanon,$5.4 B,89,Diversified,Thailand
535,Wolfgang Reimann,$5.4 B,71,Consumer goods,Germany
536,Matthias Reimann-Andersen,$5.4 B,58,Consumer goods,Germany
536,Renate Reimann-Haas,$5.4 B,72,Consumer goods,Germany
536,Stefan Reimann-Andersen,$5.4 B,60,Consumer goods,Germany
539,Michael Moritz,$5.4 B,69,Venture capital,United States
540,Mark Meijer & family,$5.4 B,66,Supermarkets,United States
541,Hank Meijer & family,$5.4 B,71,Supermarkets,United States
542,Doug Meijer & family,$5.4 B,69,Supermarkets,United States
543,Archie Aldis Emmerson & family,$5.3 B,94,"Timberland, lumber mills",United States
544,Jaran Chiaravanont,$5.3 B,93,Diversified,Thailand
545,Rahul Bhatia,$5.3 B,64,Aviation,India
546,Jorge Moll Filho & family,$5.3 B,78,Hospitals,Brazil
547,Horst Julius Pudwill,$5.3 B,79,Manufacturing,Germany
548,Thai Lee,$5.3 B,65,IT provider,United States
549,Rick Caruso,$5.3 B,64,Real estate,United States
550,Rakesh Gangwal,$5.3 B,70,Airline,United States
551,Peter Gilgan,$5.3 B,73,Homebuilding,Canada
552,Ron Baron,$5.3 B,80,Money management,United States
553,Dagmar Dolby & family,$5.3 B,82,Dolby Laboratories,United States
554,Mark Scheinberg,$5.2 B,50,Online gambling,Canada
555,Michael Pieper,$5.2 B,77,Kitchen appliances,Switzerland
556,Robert Bass,$5.2 B,75,"Oil, investments",United States
557,Mark Shoen,$5.2 B,73,U-Haul,United States
558,Rajan Mittal,$5.2 B,63,Telecom,India
558,Rakesh Mittal,$5.2 B,68,Telecom,India
560,Odd Reitan & family,$5.2 B,72,"Retail, real estate",Norway
561,Gwendolyn Sontheim Meyer,$5.2 B,62,Cargill,United States
562,Kwon Hyuk-bin,$5.2 B,50,Online games,South Korea
563,Maria Fernanda Amorim & family,$5.2 B,88,"Energy, investments",Portugal
564,Dan Kurzius,$5.2 B,52,Email marketing,United States
565,Ronald Wanek,$5.1 B,82,Furniture,United States
566,John Henry,$5.1 B,74,Sports,United States
567,Romesh T. Wadhwani,$5.1 B,76,Software,United States
568,Joseph Liemandt,$5.1 B,55,Software,United States
569,Sami Mnaymneh,$5.1 B,62,Private equity,United States
569,Tony Tamer,$5.1 B,66,Private equity,United States
571,Zhang Yong,$5.1 B,53,Restaurants,Singapore
572,Dona Bertarelli,$5.1 B,56,Biotech and investments,Switzerland
573,Kjell Inge Rokke,$5.1 B,65,"Shipping, seafood",Norway
574,George Lucas,$5.1 B,79,Star Wars,United States
575,Murat Ulker,$5.0 B,64,Food,Turkey
576,Elizabeth Uihlein,$5.0 B,78,Packaging materials,United States
576,Richard Uihlein,$5.0 B,78,Packaging materials,United States
578,Danielle Bellon & family,$5.0 B,83,Food services,France
579,Min Kao & family,$5.0 B,74,Navigation equipment,United States
580,Sudhir Mehta,$5.0 B,69,"Pharmaceuticals, power",India
581,Samir Mehta,$5.0 B,60,"Pharmaceuticals, power",India
582,Bidzina Ivanishvili,$4.9 B,67,Investments,Georgia
583,Richard Li,$4.9 B,57,Telecom,Hong Kong
584,Thomas Secunda,$4.9 B,69,Bloomberg LP,United States
585,Ananda Krishnan,$4.9 B,85,"Telecoms, media, oil-services",Malaysia
586,Zhang Daocai,$4.9 B,74,Valves,China
587,Carlo Fidani,$4.9 B,69,Real estate,Canada
588,Herbert Wertheim,$4.9 B,84,Investments,United States
589,Patrick Drahi,$4.9 B,60,Telecom,France
590,Ben Chestnut,$4.9 B,49,Email marketing,United States
591,Margot Birmingham Perot,$4.9 B,90,"Computer services, real estate",United States
592,Arturo Moreno,$4.9 B,77,"Billboards, Los Angeles Angels",United States
593,Trevor Rees-Jones,$4.9 B,72,Oil & gas,United States
594,Charles Dolan & family,$4.9 B,97,Cable television,United States
595,Luo Liguo & family,$4.9 B,67,Chemicals,China
596,Johnelle Hunt,$4.9 B,91,Trucking,United States
597,Daniel Tsai,$4.8 B,67,Finance,Taiwan
598,Yu Renrong,$4.8 B,57,Semiconductors,China
599,Chan Laiwa & family,$4.8 B,82,Real estate,China
600,Kim Beom-su,$4.8 B,57,Online services,South Korea
601,Russ Weiner,$4.8 B,53,Energy drinks,United States
602,Steven Spielberg,$4.8 B,77,Movies,United States
603,Austen Cargill II,$4.8 B,72,Cargill,United States
603,Marianne Liebmann,$4.8 B,70,Cargill,United States
605,Rajiv Bajaj,$4.8 B,57,Diversified,India
605,Sanjiv Bajaj,$4.8 B,54,Diversified,India
607,Leena Tewari,$4.8 B,66,Pharmaceuticals,India
608,Maximilian Viessmann,$4.8 B,34,"Heating, cooling equipment",Germany
609,Guenther Fielmann & family,$4.8 B,84,Optometry,Germany
610,Zhu Yan & family,$4.8 B,53,Real estate,China
611,Jack Dorsey,$4.8 B,47,"Twitter, Square",United States
612,Tom Morris,$4.8 B,69,Retail,United Kingdom
613,Leonid Boguslavsky,$4.8 B,72,Venture capital,Canada
614,Richard Tsai,$4.8 B,66,Finance,Taiwan
615,Jon Stryker,$4.8 B,65,Medical equipment,United States
616,Giuseppe Crippa & family,$4.8 B,88,Microchip testing,Italy
617,Herb Simon,$4.7 B,89,Real estate,United States
618,Zhu Baoguo & family,$4.7 B,61,Pharmaceuticals,China
619,Lai Meisong,$4.7 B,53,Package delivery,China
620,Helen Johnson-Leipold,$4.7 B,67,Cleaning products,United States
621,Jim Kavanaugh,$4.7 B,61,IT provider,United States
622,Hansjoerg Wyss,$4.7 B,89,Medical devices,Switzerland
623,Nusli Wadia,$4.7 B,79,Consumer goods,India
624,Dinara Kulibaeva,$4.7 B,56,Banking,Kazakhstan
624,Timur Kulibaev,$4.7 B,57,Banking,Kazakhstan
626,Chandru Raheja,$4.7 B,83,Real estate,India
627,Joao Moreira Salles,$4.7 B,62,"Banking, minerals",Brazil
627,Walther Moreira Salles Junior,$4.7 B,67,"Banking, minerals",Brazil
629,Reed Hastings,$4.7 B,63,Netflix,United States
630,Li Ping,$4.7 B,56,Batteries,Hong Kong
631,Cho Jung-ho,$4.7 B,65,Finance,South Korea
632,Winifred J. Marquart,$4.7 B,64,Cleaning products,United States
633,Pham Nhat Vuong,$4.7 B,55,Diversified,Vietnam
634,Ian Livingstone,$4.7 B,61,Real estate,United Kingdom
634,Richard Livingstone,$4.7 B,59,Real estate,United Kingdom
636,H. Fisk Johnson,$4.7 B,65,Cleaning products,United States
637,Jean (Gigi) Pritzker,$4.7 B,61,"Hotels, investments",United States
638,John Sall,$4.6 B,75,Software,United States
639,Vikas Oberoi,$4.6 B,53,Real estate,India
640,Jeffrey Lurie & family,$4.6 B,72,Philadelphia Eagles,United States
641,Giuseppe De'Longhi & family,$4.6 B,84,Coffee makers,Italy
642,Ronald Lauder,$4.6 B,79,Estee Lauder,United States
643,Li Zhenguo & family,$4.6 B,56,Solar wafers and modules,China
644,Jim Davis,$4.6 B,63,Staffing & recruiting,United States
645,S. Curtis Johnson,$4.6 B,68,Cleaning products,United States
646,Jin Baofang,$4.6 B,71,Solar panels,China
647,Theo Mueller,$4.6 B,83,Dairy,Germany
648,W. Herbert Hunt,$4.6 B,94,Oil,United States
649,Dietmar Hopp & family,$4.6 B,83,Software,Germany
650,Rupert Johnson Jr,$4.6 B,83,Franklin Templeton,United States
651,Dewi Kam,$4.6 B,73,Coal,Indonesia
652,Cai Kui,$4.6 B,61,Real estate,China
653,Vladimir Kim,$4.6 B,63,Mining,Kazakhstan
654,Issad Rebrab & family,$4.6 B,80,Food,Algeria
655,Jiang Bin,$4.6 B,57,Acoustic components,China
656,N.R. Narayana Murthy,$4.6 B,77,Software services,India
657,Wesley Edens,$4.6 B,62,Investments,United States
658,Christian Haub,$4.6 B,59,Retail,Germany
659,E. Joe Shoen,$4.6 B,74,U-Haul,United States
660,Jeff Rothschild,$4.5 B,68,Facebook,United States
661,Lim Hariyanto Wijaya Sarwono,$4.5 B,95,"Palm oil, nickel mining",Indonesia
662,Yi Zheng,$4.5 B,53,Software,China
663,Patrizio Bertelli,$4.5 B,78,Luxury goods,Italy
664,Miuccia Prada,$4.5 B,74,Luxury goods,Italy
665,Stephen Feinberg,$4.5 B,63,Private equity,United States
666,Lynn Schusterman & family,$4.5 B,84,"Oil & gas, investments",United States
667,Hussain Sajwani,$4.5 B,70,Real estate,United Arab Emirates
668,Yitzhak Tshuva,$4.5 B,75,Real estate,Israel
669,Mitchell Rales,$4.5 B,67,"Manufacturing, investments",United States
670,Daryl Katz,$4.5 B,62,Pharmacies,Canada
671,Carlos Hank Rhon,$4.5 B,76,Banking,Mexico
672,Jerzy Starak,$4.5 B,76,Pharmaceuticals,Poland
673,Mong-Koo Chung,$4.4 B,85,Hyundai,South Korea
674,Jim Coulter,$4.4 B,64,Private equity,United States
675,Joy Alukkas,$4.4 B,67,Jewelry,India
676,Tse Ping & family,$4.4 B,71,Pharmaceuticals,China
677,Eric Yuan & family,$4.4 B,53,Zoom Video Communications,United States
678,Djoko Susanto,$4.4 B,73,Supermarkets,Indonesia
679,Fernando Roberto Moreira Salles,$4.4 B,77,"Banking, minerals",Brazil
679,Pedro Moreira Salles,$4.4 B,64,"Banking, minerals",Brazil
681,Mikhail Lomtadze,$4.4 B,48,Fintech,Georgia
682,Vinod Rai Gupta,$4.4 B,78,Electrical equipment,India
683,Juan Carlos Escotet,$4.4 B,64,Banking,Venezuela
684,Vivek Chaand Sehgal,$4.4 B,67,Auto parts,Australia
685,Jeff Skoll,$4.4 B,58,EBay,United States
686,Tahir & family,$4.4 B,71,Diversified,Indonesia
687,Emanuele (Lino) Saputo & family,$4.4 B,86,Cheese,Canada
688,James Irsay,$4.3 B,64,Indianapolis Colts,United States
689,James Chambers,$4.3 B,66,"Media, automotive",United States
690,Margaretta Taylor,$4.3 B,81,"Media, automotive",United States
691,Vyacheslav Kim,$4.3 B,54,Fintech,Kazakhstan
692,Katharine Rayner,$4.3 B,78,"Media, automotive",United States
693,Eric Lefkofsky,$4.3 B,54,"Groupon, investments",United States
694,Nick Caporella,$4.3 B,87,Beverages,United States
695,Gao Dekang & family,$4.3 B,71,Apparel,China
696,Garrett Camp,$4.3 B,45,Uber,Canada
697,Marc Ladreit de Lacharriere,$4.3 B,83,Finance,France
698,Jiang Weiping & family,$4.3 B,68,Chemicals,China
699,Frank Wang,$4.3 B,43,Drones,China
700,Yao Liangsong,$4.3 B,59,Furniture,China
701,Jeremy Jacobs Sr & family,$4.3 B,83,Food service,United States
702,Gabe Newell,$4.3 B,61,Videogames,United States
703,Samuel Yin,$4.3 B,73,Retail,Taiwan
704,Martin Lorentzon,$4.3 B,54,Spotify,Sweden
705,John Catsimatidis,$4.3 B,75,"Oil, real estate",United States
706,Barry Diller,$4.3 B,81,Online media,United States
707,Francesco Gaetano Caltagirone,$4.3 B,80,"Cement, diversified",Italy
708,Yasumitsu Shigeta,$4.3 B,58,mobile phone retailer,Japan
709,Martha Ingram & family,$4.3 B,88,"Book distribution, transportation",United States
710,Zeng Fangqin,$4.2 B,58,Smartphone components,Hong Kong
711,Hamilton James & family,$4.2 B,72,Investments,United States
712,Erik Selin,$4.2 B,56,Real estate,Sweden
713,Pyotr Aven,$4.2 B,68,"Oil, banking, telecom",Russia
714,Georg Nemetschek & family,$4.2 B,90,Software,Germany
715,Ken Xie,$4.2 B,60,Cybersecurity,United States
716,Ajay Piramal,$4.2 B,68,Pharmaceuticals,India
717,Peter Spuhler,$4.2 B,64,Train cars,Switzerland
718,Viktor Kharitonin,$4.2 B,51,Pharmaceuticals,Russia
719,Luca Garavoglia,$4.2 B,54,Spirits,Italy
720,Ugur Sahin,$4.2 B,58,Biotechnology,Germany
721,Maggie Hardy,$4.1 B,58,Building materials,United States
722,Tsai Hong-tu,$4.1 B,71,Finance,Taiwan
723,Andre Koo Sr,$4.1 B,56,Financial services,Taiwan
724,Claudio Del Vecchio,$4.1 B,66,Eyeglasses,Italy
725,Andrei Kozitsyn,$4.1 B,63,Metals,Russia
726,Rocco Basilico,$4.1 B,34,Eyeglasses,Italy
727,Gil Shwed,$4.1 B,55,Software,Israel
728,Clemente Del Vecchio,$4.1 B,19,Eyeglases,Italy
728,Leonardo Maria Del Vecchio,$4.1 B,28,Eyeglasses,Italy
728,Luca Del Vecchio,$4.1 B,22,Eyeglasses,Italy
728,Marisa Del Vecchio,$4.1 B,65,Eyeglasses,Italy
728,Nicoletta Zampillo,$4.1 B,65,Eyeglasses,Italy
728,Paola Del Vecchio,$4.1 B,62,Eyeglasses,Italy
734,Seo Jung-jin,$4.1 B,66,Biotech,South Korea
735,Takao Yasuda,$4.1 B,74,retail,Japan
736,Masahiro Noda,$4.1 B,85,software,Japan
737,Isaac Perlmutter,$4.1 B,81,Marvel comics,United States
738,Vivek Jain,$4.1 B,68,Chemicals,India
739,Steven Udvar-Hazy,$4.1 B,77,Aircraft leasing,United States
740,Peter Kellogg,$4.1 B,81,Investments,United States
741,Lee Boo-jin,$4.1 B,53,Samsung,South Korea
742,William Ackman,$4.1 B,57,Hedge funds,United States
743,Jian Yao,$4.1 B,,Medical devices,
744,Baba Kalyani,$4.1 B,74,Engineering,India
745,Antti Herlin,$4.1 B,67,"Elevators, escalators",Finland
746,Willy Michel,$4.1 B,77,Medical devices,Switzerland
747,Dan Snyder,$4.1 B,59,Washington Commanders,United States
748,Tsai Cheng-ta,$4.1 B,73,Finance,Taiwan
749,Tim Sweeney,$4.1 B,53,Video games,United States
750,Walter P.J. Droege,$4.1 B,71,Investing,Germany
751,Jeff T. Green,$4.1 B,46,Digital advertising,United States
752,Donald Sterling,$4.0 B,89,Real estate,United States
753,Daniel D'Aniello,$4.0 B,77,Private equity,United States
754,Wang Junlin & family,$4.0 B,61,Liquor,China
755,Roger Penske,$4.0 B,86,Cars,United States
756,Alfred Oetker,$4.0 B,57,Consumer goods,Germany
756,Carl Ferdinand Oetker,$4.0 B,51,Consumer goods,Germany
756,Julia Oetker,$4.0 B,44,Consumer goods,Germany
759,Marian Ilitch,$4.0 B,90,Little Caesars Pizza,United States
760,Juergen Blickle,$4.0 B,77,Auto parts,Germany
761,Li Chunan,$4.0 B,55,Solar wafers and modules,China
762,Rajan Raheja & family,$4.0 B,69,Diversified,India
763,Shaul Shani,$4.0 B,69,Telecom,Israel
764,William Berkley,$4.0 B,77,Insurance,United States
765,Torbjorn Tornqvist,$4.0 B,70,Oil trading,Sweden
766,Sanjit Biswas,$4.0 B,41,Sensor systems,United States
767,Fan Hongwei,$3.9 B,57,Petrochemicals,China
768,Beatriz Davila de Santo Domingo,$3.9 B,84,Beer,Colombia
769,Charles Edelstenne,$3.9 B,85,Aviation,France
770,Somurai Jaruphnit,$3.9 B,,Diversified,Thailand
771,Richard Schulze,$3.9 B,82,Best Buy,United States
772,Gail Miller,$3.9 B,80,Car dealerships,United States
773,Lin Jianhua,$3.9 B,61,Solar panel components,China
774,Xue Min,$3.9 B,66,Healthcare,China
775,J. Joe Ricketts & family,$3.9 B,82,TD Ameritrade,United States
776,Shari Arison,$3.9 B,66,Carnival Cruises,Israel
777,Thomas Siebel,$3.9 B,71,Business software,United States
778,Joseph Grendys,$3.8 B,62,Poultry processing,United States
779,Akio Nitori,$3.8 B,79,home furnishings,Japan
780,Evan Spiegel,$3.8 B,33,Snapchat,United States
781,Juan Roig,$3.8 B,74,Supermarkets,Spain
782,Chen Dongsheng,$3.8 B,66,Insurance,China
783,Jason Jiang,$3.8 B,50,Advertising,Singapore
784,John Bicket,$3.8 B,43,Sensor systems,United States
785,Antonio Del Valle Ruiz & family,$3.8 B,85,Chemicals,Mexico
786,Barry Sternlicht,$3.8 B,63,Private equity,United States
787,Neil Shen,$3.8 B,56,Venture capital,Hong Kong
788,Mark Leonard & family,$3.8 B,67,Software,Canada
789,Yakir Gabay,$3.8 B,57,Real estate,Cyprus
790,Koon Poh Keong,$3.8 B,62,Aluminum,Malaysia
791,Shamsheer Vayalil,$3.8 B,46,Healthcare,India
792,Vincent Viola,$3.8 B,67,Electronic trading,United States
793,Wim van der Leegte & family,$3.8 B,76,Manufacturing,Netherlands
794,Mikhail Shelkov,$3.8 B,55,Titanium,Russia
795,Brad Jacobs,$3.8 B,67,Logistics,United States
796,Andrej Babis,$3.8 B,69,Agriculture,Czech Republic
797,Jose E. Feliciano,$3.8 B,50,Private equity,United States
798,Samuel Tak Lee,$3.8 B,84,Real estate,Hong Kong
799,Renzo Rosso & family,$3.8 B,68,Fashion,Italy
800,Behdad Eghbali,$3.8 B,47,Private equity,United States
801,Nicolas D'Ieteren,$3.8 B,48,"Auto parts, distribution",Belgium
802,Hubert Burda,$3.7 B,83,Publishing,Germany
803,David Rubenstein,$3.7 B,74,Private equity,United States
804,Prasert Prasarttong-Osoth,$3.7 B,90,"hospitals, airline",Thailand
805,Bob Gaglardi,$3.7 B,82,Hotels,Canada
806,Anthony Pritzker,$3.7 B,62,"Hotels, investments",United States
807,James Clark,$3.7 B,79,"Netscape, investments",United States
808,Mary Alice Dorrance Malone,$3.7 B,73,Campbell Soup,United States
809,Lee Seo-hyun,$3.7 B,50,Samsung,South Korea
810,H. Ross Perot Jr,$3.7 B,65,Real estate,United States
811,Peter Grogg,$3.7 B,81,Biochemicals,Switzerland
812,Jacques D'Amours,$3.7 B,67,Convenience stores,Canada
813,Yang Huiyan & family,$3.7 B,42,Real estate,China
814,Jian Jun,$3.7 B,60,Biomedical products,China
815,Joesley Batista,$3.7 B,51,Beef processing,Brazil
815,Wesley Batista,$3.7 B,51,Beef packing,Brazil
817,John Middleton,$3.7 B,68,Tobacco,United States
818,Gurbachan Singh Dhingra,$3.7 B,73,Paints,India
818,Kuldip Singh Dhingra,$3.7 B,76,Paints,India
820,Fu Liquan & family,$3.7 B,56,Surveillance equipment,China
821,Gustav Magnar Witzoe,$3.7 B,30,Fish farming,Norway
822,Abhay Firodia,$3.7 B,79,Automobiles,India
823,Maurizio Billi,$3.7 B,66,Generic drugs,Brazil
824,Jay Paul,$3.7 B,76,Real estate,United States
825,Akira Mori & family,$3.7 B,87,Real estate,Japan
826,Hayes Barnard,$3.7 B,51,Fintech,United States
827,Juan Domingo Beckmann Legorreta & family,$3.7 B,56,Tequila,Mexico
828,Igor Kesaev,$3.7 B,57,"Tobacco distribution, retail",Russia
829,Karsanbhai Patel,$3.7 B,79,Consumer goods,India
830,Jon Yarbrough,$3.6 B,66,Video games,United States
831,Lawrence Stroll,$3.6 B,64,Fashion investments,Canada
832,Hu Kaijun,$3.6 B,62,Pharmaceuticals,China
833,Sid Bass,$3.6 B,81,"Oil, investments",United States
834,Bobby Murphy,$3.6 B,35,Snapchat,United States
835,Zhao Yan,$3.6 B,57,Biotech,China
836,Brunello Cucinelli & family,$3.6 B,70,Fashion,Italy
837,Edwin Leong,$3.6 B,72,Real estate,Hong Kong
838,Pansy Ho,$3.6 B,61,Casinos,Hong Kong
839,Cliff Obrecht,$3.6 B,38,Software,Australia
839,Melanie Perkins,$3.6 B,36,Software,Australia
841,Dan Olsson,$3.6 B,77,Diversified,Sweden
842,Masahiro Miki,$3.6 B,68,shoes,Japan
843,Steven Klinsky,$3.6 B,67,Investments,United States
844,Bob Parsons,$3.6 B,73,Web hosting,United States
845,Ira Rennert,$3.6 B,89,Investments,United States
846,Josh Kushner,$3.6 B,38,Venture capital,United States
847,Bruce Flatt,$3.6 B,58,Money management,Canada
848,Hilton Schlosberg,$3.6 B,70,Energy drinks,United Kingdom
849,Daniel Och,$3.6 B,62,Hedge funds,United States
850,Rajiv Jain,$3.6 B,55,Finance,United States
851,Rodger Riney & family,$3.6 B,78,Discount brokerage,United States
852,Stephen Smith,$3.6 B,72,Finance and investments,Canada
853,Tung Chee Chen,$3.6 B,81,Shipping,Hong Kong
854,Dirk Rossmann & family,$3.6 B,77,Drugstores,Germany
855,Alan Howard,$3.6 B,60,Hedge funds,United Kingdom
856,Richard LeFrak & family,$3.6 B,78,Real estate,United States
857,George Kurtz,$3.6 B,53,Security software,United States
858,Mohamed Mansour,$3.6 B,75,Diversified,Egypt
859,Travis Kalanick,$3.6 B,47,Uber,United States
860,William Conway Jr,$3.6 B,74,Private equity,United States
861,Igor Altushkin,$3.5 B,53,Metals,Russia
862,Arvind Poddar,$3.5 B,66,Tires,India
863,Barry Zekelman,$3.5 B,56,Steel,Canada
864,Charles Zegar,$3.5 B,75,Bloomberg LP,United States
865,Isak Andic & family,$3.5 B,70,Fashion retail,Spain
866,Timur Turlov,$3.5 B,36,Stock brokerage,Kazakhstan
867,Fang Wei,$3.5 B,50,Steel,China
868,Euisun Chung,$3.5 B,53,Hyundai,South Korea
869,Michael Xie,$3.5 B,54,Cybersecurity,United States
870,Amos Hostetter Jr,$3.5 B,86,Cable television,United States
871,Madhur Bajaj,$3.5 B,71,Diversified,India
871,Niraj Bajaj,$3.5 B,69,Diversified,India
871,Shekhar Bajaj,$3.5 B,75,Diversified,India
874,Stefan von Holtzbrinck,$3.5 B,60,Publishing,Germany
875,Wu Xiangdong,$3.5 B,54,Liquor,China
876,Ryan Cohen,$3.5 B,38,Investments,Canada
877,Penny Pritzker,$3.5 B,64,"Hotels, investments",United States
878,Hans Peter Wild,$3.5 B,82,Flavorings,Switzerland
879,Rufino Vigil Gonzalez,$3.5 B,75,Steel,Mexico
880,Horst Paulmann & family,$3.5 B,89,Retail,Chile
881,J.B. Pritzker,$3.5 B,58,"Hotels, investments",United States
882,Miao Hangen,$3.5 B,58,"Textiles, petrochemicals",China
883,Alessandra Garavoglia,$3.5 B,63,Spirits,Italy
884,Carl Thoma,$3.5 B,75,Private equity,United States
885,Venu Srinivasan,$3.5 B,71,Two-wheelers,India
886,David Filo,$3.5 B,57,Yahoo,United States
887,John Paulson,$3.5 B,68,Hedge funds,United States
888,Margarita Louis-Dreyfus & family,$3.5 B,61,Commodities,Switzerland
889,Martua Sitorus,$3.4 B,63,Palm oil,Indonesia
890,Walter Frey,$3.4 B,80,Car dealerships,Switzerland
891,Acharya Balkrishna,$3.4 B,51,Consumer goods,India
892,Miguel Fluxa Rossello,$3.4 B,85,Hotels,Spain
893,Neal Blue & family,$3.4 B,88,Defense,United States
894,Laurence Graff & family,$3.4 B,85,Diamond jewelry,United Kingdom
895,Kwek Leng Beng,$3.4 B,82,Diversified,Singapore
896,Pat Stryker,$3.4 B,67,Medical equipment,United States
897,Eren Ozmen,$3.4 B,65,Aerospace,United States
898,Steve Wynn,$3.4 B,81,"Casinos, hotels",United States
899,Abdulla bin Ahmad Al Ghurair & family,$3.4 B,,Diversified,United Arab Emirates
900,David Murdock,$3.4 B,100,"Dole, real estate",United States
901,Miguel Krigsner,$3.4 B,73,Cosmetics,Brazil
902,Luciano Hang,$3.4 B,61,Department stores,Brazil
903,Klaus-Peter Schulenberg,$3.4 B,72,Ticketing service,Germany
904,Stewart Rahr,$3.4 B,77,Drug distribution,United States
905,Aristotelis Mistakidis,$3.4 B,62,"Mining, commodities",Greece
906,Yang Shaopeng,$3.4 B,66,Shipping,China
907,Arun Bharat Ram,$3.4 B,83,Chemicals,India
